# axis 0: x
# datapoints
-2.680573e+00
-2.567214e+00
-2.453855e+00
-2.340496e+00
-2.227137e+00
-2.113778e+00
-2.000419e+00
-1.887059e+00
-1.773700e+00
-1.660341e+00
-1.546982e+00
-1.433623e+00
-1.320264e+00
-1.206905e+00
-1.093545e+00
-9.801863e-01
-8.668272e-01
-7.534681e-01
-6.401089e-01
-5.267498e-01
-4.133907e-01
-3.000315e-01
-1.866724e-01
-7.331325e-02
4.004588e-02
1.534050e-01
2.667641e-01
3.801233e-01
4.934824e-01
6.068416e-01
7.202007e-01
8.335598e-01
9.469190e-01
1.060278e+00
1.173637e+00
1.286996e+00
1.400355e+00
1.513715e+00
1.627074e+00
1.740433e+00
1.853792e+00
1.967151e+00
2.080510e+00
2.193869e+00
2.307229e+00
2.420588e+00
2.533947e+00
2.647306e+00
2.760665e+00
2.874024e+00

# axis 1: y
# datapoints	uncor. err.
1.000000e+00	1.000000e+00
0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00
3.000000e+00	1.732051e+00
1.000000e+00	1.000000e+00
2.000000e+00	1.414214e+00
2.000000e+00	1.414214e+00
3.000000e+00	1.732051e+00
4.000000e+00	2.000000e+00
2.000000e+00	1.414214e+00
3.000000e+00	1.732051e+00
4.000000e+00	2.000000e+00
5.000000e+00	2.236068e+00
5.000000e+00	2.236068e+00
7.000000e+00	2.645751e+00
8.000000e+00	2.828427e+00
1.000000e+00	1.000000e+00
7.000000e+00	2.645751e+00
1.200000e+01	3.464102e+00
1.000000e+01	3.162278e+00
1.500000e+01	3.872983e+00
9.000000e+00	3.000000e+00
1.300000e+01	3.605551e+00
1.400000e+01	3.741657e+00
1.400000e+01	3.741657e+00
8.000000e+00	2.828427e+00
4.000000e+00	2.000000e+00
8.000000e+00	2.828427e+00
1.200000e+01	3.464102e+00
6.000000e+00	2.449490e+00
9.000000e+00	3.000000e+00
9.000000e+00	3.000000e+00
3.000000e+00	1.732051e+00
7.000000e+00	2.645751e+00
1.000000e+01	3.162278e+00
7.000000e+00	2.645751e+00
4.000000e+00	2.000000e+00
2.000000e+00	1.414214e+00
3.000000e+00	1.732051e+00
4.000000e+00	2.000000e+00
3.000000e+00	1.732051e+00
2.000000e+00	1.414214e+00
1.000000e+00	1.000000e+00
1.000000e+00	1.000000e+00
1.000000e+00	1.000000e+00
0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00
1.000000e+00	1.000000e+00

