# axis 0: x
# datapoints	uncor. err.
2.985664e+00	1.000000e-01
2.933599e+00	1.000000e-01
3.127569e+00	1.000000e-01
3.306204e+00	1.000000e-01
3.481372e+00	1.000000e-01
3.463239e+00	1.000000e-01
3.630569e+00	1.000000e-01
3.714470e+00	1.000000e-01
4.097173e+00	1.000000e-01
3.987418e+00	1.000000e-01

# axis 1: y
# datapoints	uncor. err.
9.959993e+00	3.000000e-01
9.451770e+00	3.000000e-01
9.734171e+00	3.000000e-01
1.003743e+01	3.000000e-01
1.075605e+01	3.000000e-01
1.145200e+01	3.000000e-01
1.113878e+01	3.000000e-01
1.233006e+01	3.000000e-01
1.291156e+01	3.000000e-01
1.256697e+01	3.000000e-01

