# axis 0: x
# datapoints	uncor. err.
2.138614e+00	5.000000e-02
2.111785e+00	5.000000e-02
2.092952e+00	5.000000e-02
2.373174e+00	5.000000e-02
2.333887e+00	5.000000e-02
2.660460e+00	5.000000e-02
2.590303e+00	5.000000e-02
2.861353e+00	5.000000e-02
2.881974e+00	5.000000e-02
2.996027e+00	5.000000e-02

# axis 1: y
# datapoints	uncor. err.
5.722570e+00	5.000000e-01
6.075967e+00	5.000000e-01
6.254365e+00	5.000000e-01
7.004005e+00	5.000000e-01
6.867442e+00	5.000000e-01
7.188119e+00	5.000000e-01
7.505478e+00	5.000000e-01
8.093245e+00	5.000000e-01
9.034986e+00	5.000000e-01
9.276610e+00	5.000000e-01

